통계표명:,창업기업 동향,,,,,
단위:,개,,,,,
,,2016,2017,2018,2019,2020
창업기업,전체기업,1190177 ,1256267 ,1344366 ,1285259 ,1484667 
,법인기업,96625 ,97549 ,102372 ,109520 ,123305 
,개인기업,1093552 ,1158718 ,1241994 ,1175739 ,1361362 
기술기반업종 창업기업,전체기업,190674 ,198911 ,212237 ,220607 ,228949 
,법인기업,37102 ,37652 ,39901 ,41010 ,45236 
,개인기업,153572 ,161259 ,172336 ,179597 ,183713 
출처:,중소벤처기업부「창업기업 동향」,,,,,
